district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009007,60,98.2157,9.82157,17.5808,10,130.8071,0.9305400000000003,5.79581,10.0,5,Type 5
1009007,61,266.14369999999997,22.178641666666664,53.0419,12,249.2457,4.792416666666667,12.384233333333333,12.0,5,Type 5
1009007,62,7.3174,7.3174,7.3174,1,147.9359,0.0,0.0,1.0,0,Type 0
1009007,63,185.9761,20.66401111111111,48.1198,9,301.218,8.670666666666667,16.070522222222223,9.0,5,Type 5
1009007,64,247.49710000000002,20.624758333333336,62.8144,12,222.7606,2.2025916666666667,5.0015,12.0,5,Type 5
1009007,65,12.4252,6.2126,6.8503,2,142.3263,2.2874,-3.2485,2.0,2,Type 2
1009007,66,74.9701,14.99402,41.5749,5,253.8926,9.571259999999999,10.91018,5.0,4,Type 4
1009007,67,21.772499999999997,10.886249999999999,16.0479,2,110.398,0.559899999999999,5.763449999999999,2.0,2,Type 2
1009007,68,235.2935,18.0995,63.006,13,194.6614,2.493323076923077,6.774292307692307,13.0,5,Type 5
1009007,69,22.5868,11.2934,11.7784,2,145.6366,4.356249999999999,4.67365,2.0,2,Type 2
1009007,70,117.9702,14.746275,44.7066,8,306.3853,6.2395125,9.6796375,8.0,5,Type 5
1009007,71,198.8924,13.259493333333333,30.0778,15,208.3348,0.16288000000000005,-1.227946666666667,15.0,6,Type 6
1009007,72,9.0898,9.0898,9.0898,1,124.403,0.0,0.0,1.0,0,Type 0
1009007,73,109.34740000000001,13.668425000000001,28.8683,8,164.7978,3.4633249999999998,9.383225,8.0,5,Type 5
1009007,74,31.5509,15.77545,26.0719,2,191.5231,-0.8083500000000008,-0.940100000000001,2.0,2,Type 2
1009007,75,5.1018,5.1018,5.1018,1,90.9107,0.0,0.0,1.0,0,Type 0
1009007,76,241.67069999999998,24.16707,36.1198,10,141.9412,4.85868,17.61916,10.0,5,Type 5
1009007,77,96.5449,13.792128571428572,25.994,7,215.4451,4.1574,10.058171428571429,7.0,5,Type 5
1009007,78,6.1737,6.1737,6.1737,1,45.5474,0.0,0.0,1.0,0,Type 0
1009007,79,5.0838,5.0838,5.0838,1,90.7523,0.0,0.0,1.0,0,Type 0
1009007,80,5.7425,5.7425,5.7425,1,96.6768,0.0,0.0,1.0,0,Type 0
1009007,81,193.89820000000003,19.389820000000004,48.8263,10,155.7904,1.7640699999999998,15.135930000000002,10.0,5,Type 5
1009007,82,14.886199999999999,7.443099999999999,7.6407,2,111.6085,2.6916,3.1377500000000005,2.0,2,Type 2
1009007,83,14.880199999999999,7.440099999999999,8.6048,2,77.2001,0.6796500000000005,3.8023999999999987,2.0,2,Type 2
